Name der Liga;Ligakennung Sleeper
Bundesliga;527866518060916736
2. Bundesliga Division I;527869624503341056
2. Bundesliga Division II;527870366129315840
2. Bundesliga Division III;527870834605129728
2. Bundesliga Division IV;527871479689084928
CFFC Conference-Liga I;528220766650957824
CFFC Conference-Liga II;528220929456033792
CFFC Conference-Liga III;528221126048284672
CFFC Conference-Liga IV;528221276170813440
CFFC Conference-Liga V;528221419296215040
CFFC Conference-Liga VI;528221584735494144
CFFC Conference-Liga VI;528221718451781632
CFFC Conference-Liga VIII;528221864776589312
AFFC Conference-Liga I;595652487734681600
AFFC Conference-Liga II;595652545997758464
AFFC Conference-Liga III;595652612041269248
AFFC Conference-Liga IV;595652678269329408
AFFC Conference-Liga V;595652813279784960
AFFC Conference-Liga VI;595652864286720000
AFFC Conference-Liga VII;595652943273844736
AFFC Conference-Liga VIII;595652986852671488
CFFC Divisionsliga I;595653071397257216
CFFC Divisionsliga II;595653135154872320
CFFC Divisionsliga III;595653189701791744
CFFC Divisionsliga IV;595653251588751360
CFFC Divisionsliga V;596280300871405568
CFFC Divisionsliga VI;596280408396578816
CFFC Divisionsliga VII;596280467074891776
CFFC Divisionsliga VIII;596280529741991936
AFFC Divisionsliga I;596281031389138944
AFFC Divisionsliga II;596281093993320448
AFFC Divisionsliga III;596281144371109888
AFFC Divisionsliga IV;596281204785856512
AFFC Divisionsliga V;596281269164232704
AFFC Divisionsliga VI;596281322838740992
AFFC Divisionsliga VII;596281432951803904
AFFC Divisionsliga VIII;596281487528083456
Regionalliga West XIV;535536010239815680
Regionalliga West XV;562932747744407552
Regionalliga West XVI;565950891811397632
Regionalliga West XVII;569480170524643328
Regionalliga West XVIII;571639124947439616
Regionalliga West XIX;573515812945592320
Regionalliga West XX;575683869624287232
Regionalliga West XXI;578142470605418496
Regionalliga West XXII;579700660333756416
Regionalliga West XXIII;580759499514617856
Regionalliga West XXIV;579689417074061312
Regionalliga Ost I;528537030585856000
Regionalliga Ost II;528537483746848768
Regionalliga Ost III;528537863235063808
Regionalliga Ost IV;528538249152942080
Regionalliga Ost V;570615974810574848
Regionalliga Ost VI;575686226079232000
Regionalliga Ost VII;581857597309620224
Regionalliga Süd I;528947121228623872
Regionalliga Süd II;528947538398294016
Regionalliga Süd III;528948211777024000
Regionalliga Süd IV;528948552280461312
Regionalliga Süd V;528948878882525184
Regionalliga Süd VI;528949253549862912
Regionalliga Süd VII;528949603166072832
Regionalliga Süd VIII;528949988292710400
Regionalliga Süd IX;535536370404220928
Regionalliga Süd X;568388657047572480
Regionalliga Süd XI;570615567196532736
Regionalliga Süd XII;572090896633077760
Regionalliga Süd XIII;574526675049295872
Regionalliga Süd XIV;576438649986019328
Regionalliga Süd XV;579689417074061312
Regionalliga Süd XVI;584288170682658816
